Product Name,Customer Rating
Product 1,1.3
Product 2,5.0
Product 3,1.7
Product 4,4.3
Product 5,2.2
Product 6,1.5
Product 7,2.7
Product 8,2.0
Product 9,2.6
Product 10,3.7
Product 11,3.3
Product 12,3.7
Product 13,3.5
Product 14,1.8
Product 15,2.1
Product 16,2.4
Product 17,1.9
Product 18,1.8
Product 19,2.8
Product 20,3.6
Product 21,4.0
Product 22,1.6
Product 23,2.7
Product 24,2.8
Product 25,4.7
Product 26,2.5
Product 27,1.7
Product 28,4.2
Product 29,3.4
Product 30,1.5
Product 31,1.4
Product 32,3.5
Product 33,1.2
Product 34,4.8
Product 35,1.9
Product 36,3.6
Product 37,2.4
Product 38,3.3
Product 39,2.1
Product 40,3.3
Product 41,3.1
Product 42,3.0
Product 43,2.5
Product 44,3.9
Product 45,1.5
Product 46,3.8
Product 47,2.3
Product 48,1.3
Product 49,4.3
Product 50,2.2
Product 51,3.2
Product 52,3.4
Product 53,2.2
Product 54,3.3
Product 55,2.7
Product 56,2.2
Product 57,1.5
Product 58,3.7
Product 59,1.7
Product 60,2.9
Product 61,3.9
Product 62,1.5
Product 63,1.1
Product 64,1.8
Product 65,1.9
Product 66,3.7
Product 67,3.5
Product 68,4.0
Product 69,2.0
Product 70,4.0
Product 71,3.6
Product 72,4.7
Product 73,4.2
Product 74,1.9
Product 75,3.1
Product 76,2.5
Product 77,4.2
Product 78,2.1
Product 79,1.3
Product 80,2.7
Product 81,3.3
Product 82,1.5
Product 83,3.9
Product 84,1.5
Product 85,3.9
Product 86,2.9
Product 87,2.4
Product 88,2.5
Product 89,4.3
Product 90,4.9
Product 91,2.9
Product 92,3.6
Product 93,3.5
Product 94,4.0
Product 95,1.9
Product 96,4.5
Product 97,1.5
Product 98,4.5
Product 99,3.9
Product 100,2.7
Product 101,4.2
Product 102,4.8
Product 103,2.9
Product 104,1.2
Product 105,2.8
Product 106,2.3
Product 107,2.1
Product 108,2.0
Product 109,1.8
Product 110,4.6
Product 111,3.5
Product 112,4.3
Product 113,4.8
Product 114,2.4
Product 115,3.6
Product 116,2.6
Product 117,1.4
Product 118,4.3
Product 119,2.2
Product 120,1.8
Product 121,4.5
Product 122,3.6
Product 123,4.4
Product 124,4.4
Product 125,3.8
Product 126,2.1
Product 127,4.8
Product 128,3.5
Product 129,1.3
Product 130,1.7
Product 131,4.3
Product 132,2.5
Product 133,2.3
Product 134,1.8
Product 135,3.7
Product 136,4.4
Product 137,2.9
Product 138,4.6
Product 139,2.4
Product 140,3.0
Product 141,1.1
Product 142,3.1
Product 143,3.0
Product 144,3.9
Product 145,2.8
Product 146,4.4
Product 147,2.2
Product 148,4.7
Product 149,3.6
Product 150,4.9
Product 151,3.6
Product 152,2.2
Product 153,4.1
Product 154,2.5
Product 155,1.6
Product 156,2.7
Product 157,4.3
Product 158,4.0
Product 159,2.8
Product 160,2.3
Product 161,4.8
Product 162,1.7
Product 163,1.9
Product 164,3.3
Product 165,1.7
Product 166,2.4
Product 167,4.8
Product 168,2.5
Product 169,4.3
Product 170,4.5
Product 171,3.1
Product 172,3.4
Product 173,2.5
Product 174,1.0
Product 175,1.6
Product 176,1.4
Product 177,4.6
Product 178,4.6
Product 179,4.7
Product 180,1.8
Product 181,4.5
Product 182,3.3
Product 183,4.9
Product 184,3.4
Product 185,4.4
Product 186,1.6
Product 187,1.5
Product 188,4.0
Product 189,4.6
Product 190,2.3
Product 191,2.2
Product 192,2.3
Product 193,3.5
Product 194,4.7
Product 195,3.4
Product 196,1.5
Product 197,2.5
Product 198,1.3
Product 199,3.9
Product 200,2.1
Product 201,4.7
Product 202,1.5
Product 203,1.3
Product 204,3.7
Product 205,2.9
Product 206,3.0
Product 207,1.3
Product 208,2.1
Product 209,1.7
Product 210,1.9
Product 211,1.8
Product 212,3.0
Product 213,4.3
Product 214,1.2
Product 215,3.8
Product 216,4.0
Product 217,2.3
Product 218,3.2
Product 219,3.1
Product 220,4.7
Product 221,3.3
Product 222,1.2
Product 223,2.0
Product 224,2.8
Product 225,3.3
Product 226,4.2
Product 227,3.6
Product 228,4.8
Product 229,2.0
Product 230,1.7
Product 231,3.5
Product 232,2.4
Product 233,2.5
Product 234,4.1
Product 235,3.1
Product 236,2.1
Product 237,2.7
Product 238,1.0
Product 239,3.4
Product 240,1.1
Product 241,3.9
Product 242,4.8
Product 243,4.5
Product 244,2.7
Product 245,2.3
Product 246,4.6
Product 247,3.7
Product 248,4.1
Product 249,2.7
Product 250,1.6
Product 251,1.8
Product 252,2.9
Product 253,1.3
Product 254,1.2
Product 255,1.6
Product 256,4.2
Product 257,3.3
Product 258,3.3
Product 259,3.0
Product 260,3.6
Product 261,3.2
Product 262,4.9
Product 263,1.4
Product 264,1.7
Product 265,4.0
Product 266,1.5
Product 267,3.5
Product 268,4.7
Product 269,2.7
Product 270,4.4
Product 271,4.4
Product 272,3.6
Product 273,3.2
Product 274,2.0
Product 275,2.7
Product 276,3.5
Product 277,2.6
Product 278,4.4
Product 279,2.3
Product 280,1.3
Product 281,1.5
Product 282,1.6
Product 283,3.3
Product 284,3.5
Product 285,4.3
Product 286,2.7
Product 287,4.0
Product 288,2.7
Product 289,4.1
Product 290,1.9
Product 291,1.1
Product 292,2.5
Product 293,4.1
Product 294,1.2
Product 295,4.7
Product 296,2.5
Product 297,3.4
Product 298,2.5
Product 299,1.8
Product 300,2.1
Product 301,1.1
Product 302,4.5
Product 303,4.3
Product 304,3.3
Product 305,4.1
Product 306,3.7
Product 307,3.3
Product 308,2.7
Product 309,1.7
Product 310,4.3
Product 311,4.2
Product 312,4.7
Product 313,2.9
Product 314,2.2
Product 315,4.1
Product 316,2.4
Product 317,1.9
Product 318,4.3
Product 319,1.6
Product 320,2.5
Product 321,3.2
Product 322,3.0
Product 323,3.1
Product 324,3.1
Product 325,5.0
Product 326,2.8
Product 327,4.8
Product 328,2.4
Product 329,4.4
Product 330,1.2
Product 331,3.0
Product 332,2.6
Product 333,3.8
Product 334,2.7
Product 335,4.8
Product 336,2.7
Product 337,2.0
Product 338,3.1
Product 339,1.9
Product 340,3.2
Product 341,3.7
Product 342,1.0
Product 343,1.9
Product 344,2.5
Product 345,4.6
Product 346,3.0
Product 347,4.7
Product 348,1.8
Product 349,1.5
Product 350,1.4
Product 351,3.6
Product 352,2.6
Product 353,3.5
Product 354,4.1
Product 355,1.6
Product 356,4.7
Product 357,3.0
Product 358,2.0
Product 359,3.1
Product 360,1.6
Product 361,1.6
Product 362,3.5
Product 363,1.3
Product 364,3.1
Product 365,4.5
Product 366,5.0
Product 367,2.3
Product 368,3.5
Product 369,3.1
Product 370,4.9
Product 371,4.5
Product 372,4.2
Product 373,4.1
Product 374,2.3
Product 375,1.7
Product 376,2.6
Product 377,1.3
Product 378,1.5
Product 379,4.3
Product 380,1.3
Product 381,3.5
Product 382,4.1
Product 383,4.7
Product 384,1.3
Product 385,2.3
Product 386,2.7
Product 387,3.7
Product 388,3.7
Product 389,4.1
Product 390,3.4
Product 391,2.7
Product 392,4.3
Product 393,3.0
Product 394,2.7
Product 395,1.4
Product 396,3.8
Product 397,3.2
Product 398,2.6
Product 399,4.8
Product 400,1.5
Product 401,2.4
Product 402,3.7
Product 403,2.4
Product 404,3.5
Product 405,3.2
Product 406,1.4
Product 407,2.6
Product 408,3.6
Product 409,4.1
Product 410,3.3
Product 411,1.9
Product 412,3.7
Product 413,2.7
Product 414,3.8
Product 415,3.9
Product 416,1.7
Product 417,2.6
Product 418,1.8
Product 419,2.9
Product 420,2.5
Product 421,5.0
Product 422,3.7
Product 423,2.2
Product 424,3.2
Product 425,4.4
Product 426,1.3
Product 427,3.1
Product 428,4.6
Product 429,1.9
Product 430,1.6
Product 431,3.9
Product 432,2.4
Product 433,3.4
Product 434,4.7
Product 435,3.0
Product 436,4.6
Product 437,1.9
Product 438,3.3
Product 439,4.8
Product 440,4.1
Product 441,2.5
Product 442,2.3
Product 443,3.5
Product 444,1.8
Product 445,1.4
Product 446,2.6
Product 447,4.7
Product 448,4.0
Product 449,4.9
Product 450,4.7
Product 451,4.2
Product 452,3.7
Product 453,3.3
Product 454,1.1
Product 455,1.7
Product 456,2.4
Product 457,4.4
Product 458,4.3
Product 459,3.5
Product 460,1.8
Product 461,1.8
Product 462,1.9
Product 463,2.0
Product 464,1.6
Product 465,1.6
Product 466,2.0
Product 467,2.4
Product 468,2.5
Product 469,3.3
Product 470,1.2
Product 471,2.1
Product 472,4.5
Product 473,2.8
Product 474,2.3
Product 475,3.5
Product 476,2.6
Product 477,3.9
Product 478,1.7
Product 479,4.2
Product 480,3.4
Product 481,3.7
Product 482,3.7
Product 483,2.1
Product 484,1.2
Product 485,3.4
Product 486,4.0
Product 487,2.3
Product 488,4.0
Product 489,3.3
Product 490,4.1
Product 491,2.9
Product 492,3.6
Product 493,4.8
Product 494,4.1
Product 495,4.7
Product 496,4.1
Product 497,1.6
Product 498,4.9
Product 499,2.7
Product 500,4.6
Product 501,2.3
Product 502,3.4
Product 503,2.9
Product 504,1.3
Product 505,3.9
Product 506,1.6
Product 507,1.1
Product 508,3.0
Product 509,4.8
Product 510,1.7
Product 511,4.4
Product 512,2.1
Product 513,3.1
Product 514,2.6
Product 515,4.3
Product 516,3.7
Product 517,3.8
Product 518,1.4
Product 519,3.7
Product 520,4.4
Product 521,3.6
Product 522,1.7
Product 523,4.3
Product 524,4.7
Product 525,2.0
Product 526,1.8
Product 527,1.8
Product 528,1.2
Product 529,2.2
Product 530,2.3
Product 531,1.9
Product 532,2.8
Product 533,3.0
Product 534,2.0
Product 535,4.2
Product 536,1.2
Product 537,4.3
Product 538,2.3
Product 539,2.3
Product 540,3.2
Product 541,1.2
Product 542,4.9
Product 543,4.7
